DC MAR Geocoding - Alternate Street Spelling File,,
,,
Please read the Instructions sheet carefully before making changes to this file!,,
,,Entered by
ARONOLD,ARNOLD,ANW
ASCOTT,ASCOT,BC
ASTAOR,ASTOR,BC
ASTIR,ASTOR,ANW
ASTON,ASTOR,LWG
ASTRO,ASTOR,BC
ATLANCTIC,ATLANTIC,BC
ATLANIC,ATLANTIC,ANW
ATLANTIE,ATLANTIC,BC
AVANNAH,SAVANNAH,ANW
AYENS,AYERS,ANW
BA TES,BATES,PAT
BALVESTON,GALVESTON,ANW
BANGER,BANGOR,ANW
BANGO,BANGOR,BXW
BANK,BANKS,RRR
BANKER HILL,BUNKER HILL,BC
BANNABY,BARNABY,ANW
BARABY,BARNABY,ANW
BARANABY,BARNABY,ANW
BARBABY,BARNABY,BC
BARNABT,BARNABY,BC
BARNABYTERRACE,BARNABY,BC
BARNANY,BARNABY,BC
BARNBEY,BARNABY,BC
BARNDYWINE,BRANDYWINE,BC
BASE,BASS,ANW
BEKMONT,BELMONT,ANW
BELLVUE,BELLEVUE,RRR
BELMONNT,BELMONT,BC
BEN NING,BENNING,BC
BENING,BENNING,BXW
BENN,BENNING,ANW
BENNET,BENNETT,LWG
BENNIG,BENNING,BC
BENNINGRD,BENNING,BC
BENNINGROAD,BENNING,BXW
BENNINGS,BENNING,BC
BENNNING,BENNING,BC
BERNABY,BARNABY,EHG
BFAIRMONT,FAIRMONT,BC
BLADENBURG,BLADENSBURG,BC
BLAGDENS,BLAGDEN,PAT
BLAGNESBURG,BLADENSBURG,BC
BLAIN,BLAINE,BC
BLAKELY LN,BLAKNEY,BC
BLAKENEY,BLAKNEY,BC
BLALINE,BLAINE,BXW
BLANDENSBURG,BLADENSBURG,BC
BLANE,BLAINE,BC
BLANKEY,BLAKNEY,MWE
BLEMONT,BELMONT,BC
BOINI,BONINI,BC
BONI,BONINI,BC
BONIN,BONINI,ANW
BORTHERS P,BROTHERS,BXW
BOWEN RAOD,BOWEN,ANW
BOWNE,BOWEN,BC
BR YANT,BRYANT,PAT
BRANCE,BRANCH,BXW
BRANDWINE,BRANDYWINE,BC
BRANDYWIND,BRANDYWINE,BC
BRANDYWNEST,BRANDYWINE,BC
BRANDYWUNE,BRANDYWINE,BC
BRANNDYWINE,BRANDYWINE,BC
BRANYWINE,BRANDYWINE,BC
BRENDWOOD,BRENTWOOD,BC
BRENTWWOD,BRENTWOOD,BXW
BRINEY,BIRNEY,ANW
BROAD,BROAD BRANCH,BXW
BROOK,BROOKS,BXW
BROTHER,BROTHERS,BXW
BROTHES,BROTHERS,BC
BST,B,BC
BUCHANA,BUCHANAN,ANW
BUCHANNAN,BUCHANAN,BXW
BUCHANON,BUCHANAN,BXW
BUENA,BUENA VISTA,BC
BUENA V,BUENA VISTA,ANW
BUENA VIS,BUENA VISTA,BC
BUENA VIST,BUENA VISTA,ANW
BUENA VISTATERR,BUENA VISTA,ANW
BUENA VSIA,BUENA VISTA,BC
BUENA VUST,BUENA VISTA,BC
BUENAVISTA,BUENA VISTA,PAT
BUENTA VISTA,BUENA VISTA,BC
BULTER,BUTLER,BC
BUNEA VISTA,BUENA VISTA,BC
BUNKER HILL R,BUNKER HILL,BC
BUNKERHILL,BUNKER HILL,EHG
BUNNKER HILL,BUNKER HILL,BC
BUNWELL,BURWELL,BXW
BURBANKS,BURBANK,JF
BURBARK,BURBANK,BC
BURBKANK,BURBANK,BC
BURCE,BURKE,BC
BUREA VISTA,BUENA VISTA,BC
BURN,BURNS,ANW
BURNA VISTA,BUENA VISTA,LWG
BURNHAM PS,BURNHAM,ANW
BURNHUM,BURNHAM,ANW
BURNS CPL,BURNS,MWE
BURROUGHS,NANNIE HELEN BURROUGHS,JF
BURWELL ST BAFB,BURWELL,ANW
BUTLER TS,BUTLER,BC
BUTTLER,BUTLER,ANW
BVENA VISTA,BUENA VISTA,BC
BYRANT,BRYANT,BC
C J BARNEY,COMMODORE JOSHUA BARNEY,BXW
C J BRNY,COMMODORE JOSHUA BARNEY,BXW
C ST REET,C,BC
CALIF,CALIFORNIA,PAT
CALIFRONIA,CALIFORNIA,PAT
CALL PLACESE,CALL,BC
CANAL TOWPATH,CANAL,PAT
CAPITAL,CAPITOL,JF
CAPITAL SQ,CAPITOL SQUARE,PAT
CAPITAL SQUARE,CAPITOL SQUARE,PAT
CAPITOL SQ,CAPITOL SQUARE,MWE
CARENTER,CARPENTER,BC
CARROLBURG,CARROLLSBURG,PAT
CARROLLBURG,CARROLLSBURG,BXW
CARROLLBURGS,CARROLLSBURG,BC
CARROLSBERG,CARROLLSBURG,EHG
CARROLSBUG,CARROLLSBURG,PAT
CARROLSBURG,CARROLLSBURG,PAT
CARSWEKK,CARSWELL,BXW
CARSWELL CIR BOLL,CARSWELL,BC
CATHEDRAL AV WEST,CATHEDRAL,BC
CATHEDRAL VE,CATHEDRAL,ANW
CATHEDRALL,CATHEDRAL,PAT
CATHERDAL,CATHEDRAL,ANW
CATHERDRAL,CATHEDRAL,ANW
CATHERIAL,CATHEDRAL,ANW
CEADAR,CEDAR,BXW
CEADER,CEDAR,BC
CEADR,CEDAR,BC
CENRAL,CENTRAL,BXW
CENTERAL,CENTRAL,BXW
CHAIN GRIDGE,CHAIN BRIDGE,MWE
CHAMPLIN,CHAMPLAIN,ANW
CHANING,CHANNING,BC
CHAOIN,CHAPIN,BXW
CHAPIN ST AP,CHAPIN,BC
CHAPLILN,CHAPLIN,BC
CHEASAPPEAKE,CHESAPEAKE,BXW
CHEASEPEAKE,CHESAPEAKE,BXW
CHEASPEAKE,CHESAPEAKE,ANW
CHESAPEAK,CHESAPEAKE,ANW
CHESAPEAKA,CHESAPEAKE,BXW
CHESAPEKE,CHESAPEAKE,ANW
CHESAPKE,CHESAPEAKE,BXW
CHESEAPEAKE,CHESAPEAKE,ANW
CHESEPEAKE,CHESAPEAKE,ANW
CHESNUT,CHESTNUT,ANW
CHESPEAKE,CHESAPEAKE,EHG
CHILDLESS,CHILDRESS,PAT
CHILLIM,CHILLUM,BC
CHILLIUM,CHILLUM,BC
CHILLOM,CHILLUM,BXW
CHILLUMPLACE,CHILLUM,BC
CHN BRIDGE,CHAIN BRIDGE,PAT
CHSEAPEAKE,CHESAPEAKE,ANW
CHULLIUM,CHILLUM,BC
CILFTON,CLIFTON,BC
CILLUM,CHILLUM,BC
CJ BARNEY,COMMODORE JOSHUA BARNEY,BXW
CJ BRNY,COMMODORE JOSHUA BARNEY,BXW
CJBRNY,COMMODORE JOSHUA BARNEY,BXW
CLAGGETT,CLAGETT,ANW
CLAT,CLAY,BXW
CLEMONT,CLERMONT,BC
CLIFFBORNE,CLIFFBOURNE,PAT
CLIFFTON,CLIFTON,BXW
CLIFON,CLIFTON,BC
CLIFTON ST AP,CLIFTON,BC
CLIFTON ST S,CLIFTON,BC
CLIFTON ST W,CLIFTON,BC
CLIFTONS,CLIFTON,ANW
CLITON,CLIFTON,LWG
CM BARNEY,COMMODORE JOSHUA BARNEY,BC
COCSTITUTION,CONSTITUTION,ANW
COKUMBIA,COLUMBIA,ANW
COLD,COLE,BC
COLORADA,COLORADO,PAT
COLORDO,COLORADO,PAT
COLORODO,COLORADO,PAT
COLUMBIS,COLUMBIA,ANW
COLUMIA,COLUMBIA,ANW
COLUMIBIA,COLUMBIA,BC
COMGRESS,CONGRESS,BC
COMM JOSHUA BARNEY,COMMODORE JOSHUA BARNEY,PAT
COMMODORE J BARNEY,COMMODORE JOSHUA BARNEY,ANW
COMMODORE JB,COMMODORE JOSHUA BARNEY,EHG
COMMODORE JOSH BARNE,COMMODORE JOSHUA BARNEY,BC
COMMODORE JOSHUA,COMMODORE JOSHUA BARNEY,BC
COMMODORE JOSHUA B,COMMODORE JOSHUA BARNEY,BC
COMNGRESS,CONGRESS,BC
CONDIN,CONDON,BC
CONGESS,CONGRESS,BC
CONGREES,CONGRESS,ANW
CONN,CONNECTICUT,PAT
CONNECICUT,CONNECTICUT,ANW
CONNECITICUT,CONNECTICUT,BXW
CONNECTICIUT,CONNECTICUT,PAT
CONNECTICUIT,CONNECTICUT,MWE
CONNECTICUTE,CONNECTICUT,PAT
CONNECTINUT,CONNECTICUT,PAT
CONNECTIUT,CONNECTICUT,EHG
CONNETIVE,CONNECTICUT,PAT
CONST,CONSTITUTION,BC
CONSTITIUTION,CONSTITUTION,BC
CONSTITUIION,CONSTITUTION,BC
CONSTITUITION,CONSTITUTION,LWG
CONSTUTION,CONSTITUTION,EHG
COUFFUT,CROFFUT,PAT
COUMBIA,COLUMBIA,BC
CRAFFUT,CROFFUT,ANW
CREITTENDEN,CRITTENDEN,PAT
CRINTTEN,CRITTENDEN,BC
CRITTEENDEN,CRITTENDEN,ANW
CRITTENDAN,CRITTENDEN,ANW
CRITTENDON,CRITTENDEN,ANW
CRITTERDEN,CRITTENDEN,BC
CROFFUTT,CROFFUT,LWG
CRONWELL,CROMWELL,ANW
CRONWELLTERRACE,CROMWELL,LWG
CRONWLL,CROMWELL,ANW
CRRITTENDEN,CRITTENDEN,BXW
CRRITTENDEN DR,CRITTENDEN,BXW
CST,C,BC
CUDAR,CEDAR,ANW
CUSHINGS,CUSHING,ANW
D STA,D,BC
DAHILIA,DAHLIA,ANW
DANBORY,DANBURY,BXW
DANBURI,DANBURY,BC
DANSBURY,DANBURY,LWG
